URL,content_id,rendering_app,publishing_app,document_type,format,schema_name,taxon_title,taxon_base_path,taxon_description
https://www.gov.uk/government/case-studies/supporting-pupils-managing-poor-behaviour,5f434bf6-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/talking-about-and-responding-to-school-cyberbullying,5f426c76-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/ten-green-bottles-works-with-the-local-community-to-recycle-glass-in-powys,5e5bcdbc-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/the-role-of-senior-leaders-encouraging-good-behaviour,5f438ef6-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/using-isolation-rooms-managing-poor-behaviour,5f4306ca-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/using-rewards-encouraging-good-behaviour,5f43c2d5-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/whole-school-approach-managing-poor-behaviour,5f4300f6-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/working-with-a-team-of-sles,5f109da8-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,detailed_guide,detailed_guide,detailed_guide,,,
https://www.gov.uk/government/case-studies/working-with-external-groups-managing-poor-behaviour,5f437892-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/collections/2011-skills-for-life-survey,5eb67805-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/2016-assessment-and-reporting-arrangements,863ffacd-d313-49c1-b856-58fe0799fd41,whitehall-frontend,whitehall,organisation,placeholder,placeholder,,,
https://www.gov.uk/government/collections/24-advanced-learning-loans-monthly-briefing,5eb6bdac-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/academies-funding-payments-and-compliance,5f134d03-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,Funding and finance for schools,/alpha-taxonomy/abf31e97-defc-43d9-9f08-5b66289addef-funding-and-finance-for-schools,"Premiums, grants, capital funding, building programmes."
